章番号,問題番号,分類名称,問題文,借方,金額,貸方,金額,語群01,語群02,語群03,語群04,語群05,語群06,語群07,語群08,語群09,語群10,語群11,語群12,解説本文
SECT005,Q0010,債権債務等,A商店に￥200を貸付け、小切手を振出した。,貸付金,200,当座預金,200,現金,未収金,当座預金,貸付金,手形貸付金,手形借入金,-,-,-,-,-,-,通常の貸付は「貸付金」（資産）の増加と仕訳する。#よって、#（借方）貸付金200「資産の増加」#（貸方）当座預金200「資産の減少」#となります。
SECT005,Q0020,債権債務等,A商店は、B商店に￥500を貸付け、小切手を振出した。なお、B商店から同額の約束手形を受取った。,手形貸付金,500,当座預金,500,現金,当座預金,未払金,売買目的有価証券,手形貸付金,手形借入金,-,-,-,-,-,-,貸付の際に手形を受取る場合、通常の貸付金とは区別し、「手形貸付金」（資産）として仕訳する。#よって、#（借方）手形貸付金500「資産の増加」#（貸方）当座預金500「資産の減少」#となります。# #オマケ情報#お金を貸す際には、通常「借用証書」という紙が発行されます（貸付金）が、借用証書の代わりに「手形」を発行される場合があり（手形貸付金）、それらは、仕訳上、区別されることになります。
SECT005,Q0030,債権債務等,A商店に融資の申し込みを行い、当店振出し、A商店宛の約束手形￥300と引換えに同額の現金を受け取った。,現金,300,手形借入金,300,現金,未収金,未払金,売買目的有価証券,手形貸付金,手形借入金,-,-,-,-,-,-,約束手形の振出しと引換えに現金を受取った場合、手形による借入れとして「手形借入金」（負債）の増加として仕訳する。#よって、#（借方）現金300「資産の増加」#（貸方）手形借入金300「負債の増加」#となります。
SECT005,Q0040,債権債務等,A商店に対して￥100を貸付け、A商店振出しの約束手形を受取っていたが、返済期日を迎えたため、当座預金に入金された。,当座預金,100,手形貸付金,100,現金,当座預金,未払金,売買目的有価証券,手形貸付金,手形借入金,-,-,-,-,-,-,手形による貸付が返済された場合、「手形貸付金」の減少として仕訳します。#よって、#（借方）当座預金100「資産の増加」#（貸方）手形貸付金100「資産の減少」#となります。
SECT005,Q0050,債権債務等,建物￥500を購入し、代金は月末に支払うこととした。,建物,500,未払金,500,現金,未収金,未払金,建物,手形貸付金,手形借入金,-,-,-,-,-,-,建物を購入した際に代金を後日払いとした場合、「未払金」（負債）の増加として仕訳します。#よって、#（借方）建物500「資産の増加」#（貸方）未払金500「負債の増加」#となります。# #オマケ情報#代金を後日払いとした場合仕訳は2パターンに分かれます。#①商品売買の後日払い→「買掛金」#②商品売買以外の後日払い→「未払金」#と使用する勘定を区別しますのでおさえておいてください。
SECT005,Q0060,債権債務等,A商店は、商品￥300を仕入れ、代金は後日払いとした。なお、引取運賃￥100は、後日支払うことにした。,仕入,400,買掛金,300,売掛金,未収金,未払金,買掛金,仕入,売上,-,-,-,-,-,-,商品代金の後日払いは「買掛金」として仕訳し、引取運賃の後日払いは「未払金」として仕訳します。#よって、#（借方）仕入400「費用の増加」#（貸方）買掛金300「負債の増加」#（貸方）未払金100「負債の増加」#となります。# #オマケ情報#商品売買に関する後日払いは「買掛金」として仕訳しますが、引取運賃は「未払金」として仕訳します。#判断のポイントは、#「仕入先」に直接支払う金額→「買掛金」#それ以外に支払う金額→「未払金」となります。#引取運賃は「運送会社」に支払う金額なので「未払金」として仕訳するというわけです。
SECT005,Q0061,債権債務等,-,-,-,未払金,100,売掛金,未収金,未払金,買掛金,仕入,売上,-,-,-,-,-,-,-
SECT005,Q0070,債権債務等,A商店に商品￥600を売上げ、代金は後日受取ることにした。なお、A商店負担の発送運賃￥100は、現金で立替払いした。（立替金勘定使用）,売掛金,600,売上,600,売掛金,売上,現金,立替金,手形貸付金,手形借入金,-,-,-,-,-,-,先方負担の発送運賃を立替払いした場合、「立替金」（資産）の増加として仕訳します。#よって、#（借方）売掛金600「資産の増加」#（借方）立替金100「資産の増加」#（貸方）売上600「収益の増加」#（貸方）現金100「資産の減少」#となります。
SECT005,Q0071,債権債務等,-,立替金,100,現金,100,売掛金,売上,現金,立替金,手形貸付金,手形借入金,-,-,-,-,-,-,-
SECT005,Q0080,債権債務等,A商店に商品￥700を売上げ、代金は掛けとした。なお、先方負担の発送運賃￥100は、小切手を振出して支払った。（立替金勘定は使用しない）,売掛金,800,売上,700,現金,当座預金,売掛金,売上,手形貸付金,手形借入金,-,-,-,-,-,-,先方負担の発送運賃を立替払いし、かつ、立替金勘定を使用しない場合、「売掛金」（資産）の増加として仕訳します。#よって、#（借方）売掛金800「資産の増加」#（貸方）売上700「収益の増加」#（貸方）当座預金100「資産の減少」#となります。
SECT005,Q0081,債権債務等,-,-,-,当座預金,100,現金,当座預金,売掛金,売上,手形貸付金,手形借入金,-,-,-,-,-,-,-
SECT005,Q0090,債権債務等,販売用の椅子￥100を購入し、代金は後日払いとした。,仕入,100,買掛金,100,現金,買掛金,未払金,仕入,売上,建物,-,-,-,-,-,-,「販売用」の椅子の購入は、すなわち、商品の仕入に該当します。#よって、#（借方）仕入100「費用の増加」#（貸方）買掛金100「負債の増加」#となります。
SECT005,Q0100,債権債務等,建物￥200を購入し、代金は後日払いとした。,建物,200,未払金,200,現金,買掛金,未払金,仕入,売上,建物,-,-,-,-,-,-,「販売用でない（特別な指示が無い）」建物、すなわち自社利用の建物は「建物」（資産）勘定により仕訳します。#よって、#（借方）建物200「資産の増加」#（貸方）未払金200「負債の増加」#となります。
[EOF],,,,,,,,,,,,,,,,,,,,
