章番号,問題番号,分類名称,問題文,借方,金額,貸方,金額,語群01,語群02,語群03,語群04,語群05,語群06,語群07,語群08,語群09,語群10,語群11,語群12,解説本文
SECT006,Q0010,損益、修正仕訳等,A商店は、B商店に対して手数料￥200を小切手を振出して支払った。,支払手数料,200,当座預金,200,現金,当座預金,支払手数料,受取手数料,通信費,福利厚生費,-,-,-,-,-,-,手数料を支払った場合、「支払手数料」（費用）の増加として仕訳をします。#よって、#（借方）支払手数料200「費用の増加」#（貸方）当座預金200「資産の減少」#となります。
SECT006,Q0020,損益、修正仕訳等,11月分の電話料金￥400が普通預金より引落された。,通信費,400,普通預金,400,現金,当座預金,普通預金,通信費,広告宣伝費,福利厚生費,-,-,-,-,-,-,電話料金が引き落とされた場合、「通信費」（費用）の増加として仕訳をします。#よって、#（借方）通信費400「費用の増加」#（貸方）普通預金400「資産の減少」#となります。# #オマケ情報#電話料金、インターネット料金や切手・ハガキの使用代金等は「通信費」（費用）の増加として仕訳をします。
SECT006,Q0030,損益、修正仕訳等,A商店は、B商店より地代￥300を小切手で受取り、ただちに当座預金に預入れた。,当座預金,300,受取地代,300,現金,当座預金,支払地代,受取地代,保管料,租税公課,-,-,-,-,-,-,地代を受け取った場合、「受取地代」（収益）の増加として仕訳をします。#よって、#（借方）当座預金300「資産の増加」#（貸方）受取地代300「収益の増加」#となります。# #オマケ情報#「地代」とは、土地を貸借する際にかかる金額で、もらう立場では「受取地代」（収益）、支払う立場では「支払地代」（費用）の増加として仕訳をします。
SECT006,Q0040,損益、修正仕訳等,A商店から今月分の家賃￥800を手渡しで受取った。,現金,800,受取家賃,800,現金,当座預金,支払家賃,受取家賃,修繕費,租税公課,-,-,-,-,-,-,家賃を受け取った場合、「受取家賃」（収益）の増加として仕訳をします。#よって、#（借方）現金800「資産の増加」#（貸方）受取家賃800「収益の増加」#となります。# #オマケ情報#「家賃」とは、家やアパート・マンションの部屋を貸借する際にかかる金額で、もらう立場では「受取家賃」（収益）、支払う立場では「支払家賃」（費用）の増加として仕訳をします。
SECT006,Q0050,損益、修正仕訳等,従業員の慰安旅行の諸費用￥200を現金で支払った。,福利厚生費,200,現金,200,現金,当座預金,保険料,法定福利費,旅費交通費,福利厚生費,-,-,-,-,-,-,従業員の慰安旅行の諸費用を支払った場合、「福利厚生費」（費用）の増加として仕訳をします。#よって、#（借方）福利厚生費200「費用の増加」#（貸方）現金200「資産の減少」#となります。# #オマケ情報#従業員の慰安旅行の他、社内のクラブ活動に対する補助金や社員の慶弔にかかる支払（ご祝儀や香典）等の支払いを行った場合、「福利厚生費」（費用）の増加として仕訳をします。福利厚生費は、あくまで「社員」のためにかかった費用です。「得意先」等に支払ったこれらの金額は「交際費」（費用）になりますので区別しておさえて下さい。
SECT006,Q0060,損益、修正仕訳等,A倉庫に対して、11月分の保管費￥400を小切手を振出して支払った。,保管費,400,当座預金,400,現金,当座預金,保管費,通信費,給料,当座借越,-,-,-,-,-,-,商品等を保管しておくための倉庫代等を支払った場合、「保管費」（費用）の増加として仕訳をします。#よって、#（借方）保管費400「費用の増加」#（貸方）当座預金400「資産の減少」#となります。
SECT006,Q0070,損益、修正仕訳等,空箱を古紙回収業者に売却し、現金￥500を受取った。,現金,500,雑益,500,現金,当座預金,保管費,通信費,給料,雑益,-,-,-,-,-,-,空箱を古紙回収業者に売却する等、取引の重要性が低く、かつ、金額が少ない収益については、「雑益（または雑収入）」（収益）の増加として仕訳をします。#よって、#（借方）現金500「資産の増加」#（貸方）雑益500「収益の増加」#となります。# #オマケ情報#同様に、取引の重要性が低く、かつ、金額が少ない費用については、「雑損（または雑損失）」（費用）の増加として仕訳します。#本試験では「他にめぼしい費用や収益がなかったら雑益（または雑収入）・雑損（または雑損失）を選択する」といったスタンスで臨んで下さい。
SECT006,Q0080,損益、修正仕訳等,従業員よりタクシー代￥600が請求されたため、現金で支払った。,旅費交通費,600,現金,600,現金,当座預金,旅費交通費,通信費,給料,雑益,-,-,-,-,-,-,タクシー代を支払った場合、「旅費交通費」（費用）の増加として仕訳をします。#よって、#（借方）旅費交通費600「費用の増加」#（貸方）現金600「資産の減少」#となります。
SECT006,Q0090,損益、修正仕訳等,郵便局より収入印紙￥200を現金で購入した。,租税公課,200,現金,200,現金,当座預金,旅費交通費,通信費,租税公課,法定福利費,-,-,-,-,-,-,収入印紙については、「租税公課」（費用）の増加として仕訳をします。#よって、#（借方）租税公課200「費用の増加」#（貸方）現金200「資産の減少」#となります。# #オマケ情報#「租税公課」とは、税金や罰金（交通違反金）等の金額をまとめて表示する費用勘定です。#3級試験では「固定資産税」「自動車税」「印紙税」等をおさえて下さい。#固定資産税は、保有する「固定資産（長期間にわたって使用する資産）」に対して課される税金です。#自動車税は、保有する自動車に対して課される税金です。#印紙税は、一定の文書（例：税抜3万円以上の領収書）を作成する際に、その文書に対して課される税金です。#一つ注意すべきとしては、「お店の営業に関わるものに対してのみ」費用に出来るという点です。#例えば、「自宅（店舗として利用していない）の固定資産税」や「自家用車の自動車税」等は、あくまで店主個人の出費ですのでお店の費用にはできません。
SECT006,Q0100,損益、修正仕訳等,保険会社に対し、建物の火災保険料￥100を現金で支払った。,保険料,100,現金,100,現金,当座預金,旅費交通費,保険料,給料,福利厚生費,-,-,-,-,-,-,建物の火災保険料を支払った場合、「保険料」（費用）の増加として仕訳をします。#よって、#（借方）保険料100「費用の増加」#（貸方）現金100「資産の減少」#となります。
[EOF],,,,,,,,,,,,,,,,,,,,
