章番号,問題番号,分類名称,問題文,借方,金額,貸方,金額,語群01,語群02,語群03,語群04,語群05,語群06,語群07,語群08,語群09,語群10,語群11,語群12,解説本文
SECT007,Q0010,決算整理等,A商店の決算整理前残高試算表の繰越商品勘定残高は￥400、仕入勘定残高は￥800であり、決算日現在の期末商品棚卸高は￥300であった。売上原価を仕入勘定にて算定するための決算整理仕訳を行いなさい。,仕入,400,繰越商品,400,現金,当座預金,繰越商品,売上原価,仕入,売上,-,-,-,-,-,-,商品売買に関する決算整理において、売上原価を仕入勘定を用いて算定する場合、決算整理前残高試算表の繰越商品（資産）を仕入に振り替え、期末商品棚卸高を仕入から繰越商品へと振り替える仕訳を行います。#よって、#（借方）仕入400「費用の増加」#（借方）繰越商品300「資産の増加」#（貸方）繰越商品400「資産の減少」#（貸方）仕入300「費用の減少」#となります。# #オマケ情報#簿記においては年度末に、1年の結果を貸借対照表（Balance Sheet＝B/S）及び、損益計算書(Profit and Loss Statement＝P/L)としてまとめるために「決算」を行います。#その際には、B/S・P/Lを作成するために必要な仕訳をしなければならないのですが、この仕訳のことを「決算整理仕訳」と呼びます。#そして、「残高試算表（Trial Balance＝T/B）」というのは、その作成時点で各勘定がいくら残っているかをまとめた表のことで、特に、決算整理仕訳を行う直前の段階のものを「決算整理前残高試算表（前T/B）」と呼びます。#つまり、本問は現在が決算のタイミングであり、前T/Bの数字とその他のデ-タを用いて正しい決算整理仕訳を行いなさいという問題です。#次に、商品売買に関して必要な決算整理仕訳を説明します。# #本問では「売上原価を仕入勘定にて算定」とあります。#「売上原価」とは、「当期に売れた商品の原価」を指します。#つまり、売上原価という性質の費用を仕入勘定で表してください、という問題な訳です。#3分法の仕訳によると、前T/Bの繰越商品勘定は前期末に残った商品の金額を表しています。#そこで、いったん繰越商品を仕入勘定に振り替えます。#すると、仕入勘定の金額は「前期末から残っていた商品と当期に購入した商品の合計」になります。#ここから「当期末に残っている商品」を除くと「当期に売れた商品」が残り、これが売上原価となります。#つまり式にまとめると「期首商品＋当期仕入－期末商品＝売上原価」となります。#これを仕訳にすると、#仕入400/繰越商品400　（←この段階で仕入勘定の金額が「期首商品＋当期仕入」になった）#繰越商品300/仕入300　（←この段階で仕入勘定の金額が「期首商品+当期仕入－期末商品」になった）#となります。#なお、この場合、当期の売上原価は400＋800－300＝900となります。
SECT007,Q0011,決算整理等,-,繰越商品,300,仕入,300,現金,当座預金,繰越商品,売上原価,仕入,売上,-,-,-,-,-,-,-
SECT007,Q0020,決算整理等,A商店の決算整理前残高試算表の繰越商品勘定残高は￥400、仕入勘定残高は￥800であり、決算日現在の期末商品棚卸高は￥300であった。売上原価を売上原価勘定にて算定するための決算整理仕訳を行いなさい。,売上原価,400,繰越商品,400,現金,当座預金,繰越商品,売上原価,仕入,売上,-,-,-,-,-,-,商品売買に関する決算整理において、売上原価を仕入勘定を用いて算定する場合、#決算整理前残高試算表の繰越商品（資産）を仕入に振り替え、期末商品棚卸高を仕入から繰越商品へと振り替える仕訳を行います。#よって、#（借方）売上原価400「費用の増加」#（借方）売上原価800「費用の増加」#（借方）繰越商品300「資産の増加」#（貸方）繰越商品400「資産の減少」#（貸方）仕入800「費用の減少」#（貸方）売上原価300「費用の減少」#となります。# #オマケ情報#商品売買に関して必要な決算整理仕訳を説明します。# #本問では「売上原価を売上原価勘定にて算定」とあります。#この場合、売上原価の金額を売上原価勘定で表します。#3分法の仕訳によると、前T/Bの繰越商品勘定は前期末に残った商品の金額を表しています。#そこで、いったん繰越商品と仕入を売上原価勘定に振り替えます。#すると、売上原価勘定の金額は「前期末から残っていた商品と当期に購入した商品の合計」になります。#ここから「当期末に残っている商品」を除くと「当期に売れた商品」が残り、これが売上原価となります。#つまり式にまとめると「期首商品＋当期仕入－期末商品＝売上原価」となります。#これを仕訳にすると、#売上原価400/繰越商品400　（←この段階で売上原価勘定の金額が「期首商品」になった）#売上原価800/仕入800（←この段階で売上原価勘定の金額が「期首商品＋当期仕入」になった）#繰越商品300/売上原価300　（←この段階で売上原価勘定の金額が「期首商品+当期仕入－期末商品」になった）#となります。#なお、この場合、当期の売上原価は400＋800－300＝900となります。
SECT007,Q0021,決算整理等,-,売上原価,800,仕入,800,現金,当座預金,繰越商品,売上原価,仕入,売上,-,-,-,-,-,-,-
SECT007,Q0022,決算整理等,-,繰越商品,300,売上原価,300,現金,当座預金,繰越商品,売上原価,仕入,売上,-,-,-,-,-,-,-
SECT007,Q0030,決算整理等,決算につき翌期以降の貸倒れを￥300と見積もった。なお、前期に見積もった貸倒引当金の残高が￥100である。差額補充法により決算整理仕訳を行いなさい。,貸倒引当金繰入,200,貸倒引当金,200,貸倒引当金繰入,貸倒引当金戻入,貸倒損失,貸倒引当金,雑損,雑益,-,-,-,-,-,-,翌期以降の貸倒れを見積もった場合、既に計上されている残高と比較し、足りない金額について決算整理仕訳によって貸倒引当金を計上します。#よって、#（借方）貸倒引当金繰入200「費用の増加」#（貸方）貸倒引当金200「資産の控除項目の増加」#となります。# #オマケ情報#「貸倒れ」とは相手先の倒産等により売掛金や受取手形が返済してもらえなくなることを言います。#決算時において、当社の売掛金や受取手形のうち、翌期以降に貸倒れそうなものがある場合、「実際に貸倒れる前に、予め費用を計上」してしまいます。#この費用は「貸倒引当金繰入（かしだおれひきあてきんくりいれ）」勘定で仕訳をします。#そして、実際に貸倒れるまでは売掛金等を減少させることはできないので、代わりに、貸方に「貸倒引当金」勘定を仕訳します。この「貸倒引当金」は、「売掛金や受取手形を間接的に減少させる」ための科目です。このように、ある勘定を「マイナスする勘定」のことを「評価勘定」と呼びます。
SECT007,Q0040,決算整理等,A商店の決算整理前残高試算表の受取手形勘定残高は￥4000、売掛金勘定残高は￥6000である。また、貸倒引当金残高は￥800であった。これらの残高のうち3％は将来回収不能になると見込まれるため、貸倒引当金を差額補充法によって設定する。,貸倒引当金,500,貸倒引当金戻入,500,貸倒引当金繰入,貸倒引当金戻入,貸倒損失,貸倒引当金,雑損,雑益,-,-,-,-,-,-,翌期以降の貸倒れを見積もった場合、既に計上されている残高と比較し、上回っている金額については決算整理仕訳によって貸倒引当金を減少させ、「貸倒引当金戻入」勘定（収益）を計上します。#本問では「（受取手形4000＋売掛金6000）×3％＝300」が見積もりですので既に計上されている800から－500をする必要があります。#よって、#（借方）貸倒引当金500「資産の控除項目の減少」#（貸方）貸倒引当金戻入「収益の増加」500#となります。
SECT007,Q0050,決算整理等,得意先A商店が倒産し、売掛金￥400が回収不能となった。なお、貸倒引当金の残高は￥900である。,貸倒引当金,400,売掛金,400,貸倒引当金繰入,貸倒引当金戻入,貸倒損失,貸倒引当金,売掛金,売上,-,-,-,-,-,-,貸倒引当金を計上している場合に、実際に貸倒れた場合、売掛金等を減少させ、代わりに計上していた貸倒引当金を減少させます。#よって、#（借方）貸倒引当金400「資産の控除項目の減少」#（貸方）売掛金400「資産の減少」#となります。
SECT007,Q0060,決算整理等,得意先A商店が倒産し、売掛金￥400が回収不能となった。なお、貸倒引当金の残高は￥300である。,貸倒引当金,300,売掛金,400,貸倒引当金繰入,貸倒引当金戻入,貸倒損失,貸倒引当金,売掛金,売上,-,-,-,-,-,-,貸倒引当金を計上している場合に、実際に貸倒れた場合、売掛金等を減少させ、代わりに計上していた貸倒引当金を減少させます。#また、貸倒引当金の金額が足りない場合、「貸倒損失」勘定（費用）を計上します。#よって、#（借方）貸倒引当金300「資産の控除項目の減少」#（借方）貸倒損失100「費用の増加」#（貸方）売掛金400「資産の減少」#となります。
SECT007,Q0061,決算整理等,-,貸倒損失,100,-,-,貸倒引当金繰入,貸倒引当金戻入,貸倒損失,貸倒引当金,売掛金,売上,-,-,-,-,-,-,-
